"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 20 09:21:53 BST 2022","Wed Apr 20 09:22:09 BST 2022","16383","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"broken","Mon May 23 20:21:01 BST 2022","Mon May 23 20:21:40 BST 2022","39537","","Reset All Button in the filter model","","Reset All Button in the filter model","Apply Reset All after filters","Apply Reset All after filters",""
"failed","Tue May 17 07:25:17 BST 2022","Tue May 17 07:25:30 BST 2022","12135","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants medium suitcase","Correct product card links for size searched variants medium suitcase",""
"passed","Mon Mar 28 16:13:40 BST 2022","Mon Mar 28 16:13:56 BST 2022","15497","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
"passed","Tue Apr 26 17:19:38 BST 2022","Tue Apr 26 17:19:52 BST 2022","14557","","Sorting Functionality","","Sorting Functionality","Filter maintained after Sorting Price: High - Low","Filter maintained after Sorting Price: High - Low",""
"broken","Mon Apr 25 19:32:42 BST 2022","Mon Apr 25 19:32:50 BST 2022","7594","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Selecting single filters in different facets","Selecting single filters in different facets",""
"passed","Mon May 23 21:04:22 BST 2022","Mon May 23 21:04:30 BST 2022","7323","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Thu Apr 07 11:47:14 BST 2022","Thu Apr 07 11:47:31 BST 2022","16837","","Citrus","","Citrus","prepush: citrus products on plain search and sort (desktop/tablet)","prepush: citrus products on plain search and sort (desktop/tablet)",""
"passed","Mon May 23 21:04:06 BST 2022","Mon May 23 21:04:13 BST 2022","7442","","Category facet exact match","","Category facet exact match","prepush","prepush",""
"passed","Mon Mar 28 16:14:10 BST 2022","Mon Mar 28 16:14:33 BST 2022","22549","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"broken","Thu Apr 07 11:22:26 BST 2022","Thu Apr 07 11:24:03 BST 2022","96542","","Perceived Availability","","Perceived Availability","Close localise tooltip prompt on search page","Close localise tooltip prompt on search page",""
"broken","Wed Aug 10 15:40:38 BST 2022","Wed Aug 10 15:41:27 BST 2022","49160","","Citrus in browse","","Citrus in browse","display 3 citrus products filtered by price in browse (desktop/tablet)","display 3 citrus products filtered by price in browse (desktop/tablet)",""
"passed","Mon Mar 28 16:13:16 BST 2022","Mon Mar 28 16:13:30 BST 2022","14595","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"passed","Wed Apr 20 09:21:53 BST 2022","Wed Apr 20 09:21:57 BST 2022","4856","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"passed","Wed Aug 10 12:24:55 BST 2022","Wed Aug 10 12:25:19 BST 2022","23684","","Citrus in search","","Citrus in search","display 1 citrus product on plain search (mobile)","display 1 citrus product on plain search (mobile)",""
"passed","Mon May 23 21:04:53 BST 2022","Mon May 23 21:05:08 BST 2022","15309","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Mon May 23 21:03:40 BST 2022","Mon May 23 21:03:53 BST 2022","13019","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Wed Apr 20 09:21:02 BST 2022","Wed Apr 20 09:21:26 BST 2022","23627","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
"passed","Fri Apr 01 13:52:04 BST 2022","Fri Apr 01 13:52:39 BST 2022","35043","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the continue shopping button","Add to trolley modal and close using the continue shopping button",""
"passed","Thu Apr 07 11:02:07 BST 2022","Thu Apr 07 11:02:14 BST 2022","7107","","Perceived Availability","","Perceived Availability","Localise tooltip prompt displays on search page","Localise tooltip prompt displays on search page",""
"passed","Mon Apr 25 19:35:59 BST 2022","Mon Apr 25 19:36:35 BST 2022","36070","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Check then un-check multi-select filter","Check then un-check multi-select filter",""
"passed","Thu Apr 07 11:35:07 BST 2022","Thu Apr 07 11:35:16 BST 2022","8820","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised using browse","Add your postcode link displays when not localised using browse",""
"passed","Mon Apr 25 19:38:12 BST 2022","Mon Apr 25 19:38:21 BST 2022","9030","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Filter panel persists after filtering browse page","Filter panel persists after filtering browse page",""
"passed","Mon Mar 28 16:12:57 BST 2022","Mon Mar 28 16:13:15 BST 2022","18428","","Citrus in search","","Citrus in search","prepush: display 3 citrus products on plain search and sort (desktop/tablet)","prepush: display 3 citrus products on plain search and sort (desktop/tablet)",""
"broken","Tue May 31 16:47:34 BST 2022","Tue May 31 16:48:17 BST 2022","43236","","Accessibility","","Accessibility","Accessibility violations on browse page","Accessibility violations on browse page",""
"passed","Mon Jun 06 14:07:05 BST 2022","Mon Jun 06 14:07:17 BST 2022","12348","","Unsupported browser","","Unsupported browser","Customer browsing basket page with an unsupported browser","Customer browsing basket page with an unsupported browser",""
"passed","Mon Jun 06 14:07:06 BST 2022","Mon Jun 06 14:07:21 BST 2022","15455","","Unsupported browser","","Unsupported browser","Customer browsing account page with an unsupported browser","Customer browsing account page with an unsupported browser",""
"passed","Fri Apr 08 11:00:55 BST 2022","Fri Apr 08 11:01:17 BST 2022","22003","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"failed","Mon Aug 08 09:55:04 BST 2022","Mon Aug 08 09:55:20 BST 2022","16250","","Tagging - Lister Page","","Tagging - Lister Page","Search term matches a category. Refinement automatically applied to tagging","Search term matches a category. Refinement automatically applied to tagging",""
"passed","Mon May 23 21:01:20 BST 2022","Mon May 23 21:01:34 BST 2022","14144","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Mon May 16 16:31:55 BST 2022","Mon May 16 16:32:08 BST 2022","13075","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants medium suitcase","Correct product card links for size searched variants medium suitcase",""
"passed","Thu Mar 31 11:52:20 BST 2022","Thu Mar 31 11:52:33 BST 2022","13032","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Mon May 23 21:04:01 BST 2022","Mon May 23 21:04:13 BST 2022","12812","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Tue Apr 26 16:22:16 BST 2022","Tue Apr 26 16:22:25 BST 2022","8782","","Citrus in search","","Citrus in search","display 1 citrus products on plain search (desktop/tablet)","display 1 citrus products on plain search (desktop/tablet)",""
"passed","Mon Mar 28 16:12:22 BST 2022","Mon Mar 28 16:12:35 BST 2022","13430","","Feedback on search results page","","Feedback on search results page","Pre-push The feedback box should be reset when the user navigates to a different search term","Pre-push The feedback box should be reset when the user navigates to a different search term",""
"passed","Mon Apr 25 15:10:08 BST 2022","Mon Apr 25 15:10:24 BST 2022","15687","","All Categories Link","","All Categories Link","all categories link displayed after searching and selecting a category","all categories link displayed after searching and selecting a category",""
"passed","Fri Apr 01 13:52:45 BST 2022","Fri Apr 01 13:53:16 BST 2022","30230","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"failed","Thu Apr 07 10:58:14 BST 2022","Thu Apr 07 10:58:22 BST 2022","8394","","Perceived Availability","","Perceived Availability","Localise tooltip prompt search","Localise tooltip prompt search",""
"passed","Mon Jun 06 14:07:06 BST 2022","Mon Jun 06 14:07:21 BST 2022","14862","","Unsupported browser","","Unsupported browser","Customer browsing browse page with an unsupported browser","Customer browsing browse page with an unsupported browser",""
"passed","Mon Mar 28 16:13:56 BST 2022","Mon Mar 28 16:14:10 BST 2022","14556","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Wed Apr 20 09:21:52 BST 2022","Wed Apr 20 09:22:13 BST 2022","21448","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Thu Mar 31 11:53:48 BST 2022","Thu Mar 31 11:54:11 BST 2022","22948","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
